step,time,action,reward,entropy,state,next_state,position
1,120.0,"[0.0, 0.0, 0.0]",0.0008626131108817777,4696.180822866518,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-79.42891507806421, 321.5079824459556, 30.3769956114889]"
2,240.0,"[0.0, 0.0, 0.0]",0.0005920779045812985,4693.397917394634,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-70.92795931628703, 340.9854543877081, 35.246363596927026]"
3,360.0,"[0.0, 0.0, 0.0]",0.008841434193141987,4651.841096231382,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-61.24173190787158, 358.10692929690816, 39.52673232422705]"
4,480.0,"[0.0, 0.0, 0.0]",1.520734461814783e-11,4651.841096159904,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-50.53209865046316, 372.5862915295402, 43.14657288238505]"
5,600.0,"[0.0, 0.0, 0.0]",0.0,4651.841096159904,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-38.97802739775816, 384.18157758233707, 46.04539439558427]"
6,720.0,"[0.0, 0.0, 0.0]",0.0,4651.841096159904,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-26.772597341532, 392.6990195261843, 48.17475488154608]"
7,840.0,"[0.0, 0.0, 0.0]",0.0,4651.841096159904,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-14.11977248018708, 397.99628304700826, 49.499070761752066]"
8,960.0,"[0.0, 0.0, 0.0]",0.0,4651.841096159904,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-1.2309931921382806, 399.98484598349853, 49.99621149587464]"
9,1080.0,"[0.0, 0.0, 0.0]",0.0,4651.841096159904,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[11.678357128009962, 398.63147761410477, 49.657869403526206]"
10,1200.0,"[0.0, 0.0, 0.0]",0.0,4651.841096159904,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[24.39255132472572, 393.95879397305623, 48.489698493264065]"
