time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_best_idx,root_Q_sa,root_N_sa
0.0,0,"[9.762700785464955e-06, 4.303787327448391e-05, 2.0552675214328774e-05, 0.00020897663659937937, -1.526904013221906e-05, 2.9178822613331237e-05]","[-0.0, -0.0, -0.01]",267.33415154660906,"[0.0, 4.30378732744839e-05, 2.7299102362524436e-05, 0.0002082028004447951, -0.001338820674416709, 7.250695579278473e-05]",5545.177444479563,5277.843292932954,267.33415154660906,0.01,764.7551823251159,200,10,"[205.69493007601704, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 102.41273045623637, 263.8797928116536, 764.7551823251159, 120.73842221372806, 133.66707577330453]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 178, 1, 1]"
30.0,1,"[0.0, 4.30378732744839e-05, 2.7299102362524436e-05, 0.0002082028004447951, -0.001338820674416709, 7.250695579278473e-05]","[0.0, 0.0, 0.0]",168.34272315879116,"[0.0, 4.3037873274483896e-05, 3.401698013081657e-05, 0.00020721122596431497, -0.001335776122828128, 0.00011575926125456875]",5277.843292932954,5109.500569774163,168.34272315879116,0.0,549.8518034137633,200,0,"[549.8518034137633, 176.41256229700156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 148.62577633125818, 169.6970077514352, 228.05001531096357, 102.50346368076134]","[181, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1]"
60.0,2,"[0.0, 4.3037873274483896e-05, 3.401698013081657e-05, 0.00020721122596431497, -0.001335776122828128, 0.00011575926125456875]","[0.0, 0.0, 0.0]",140.62141161435557,"[0.0, 4.303787327448388e-05, 4.0699282967888315e-05, 0.00020600295014575526, -0.0013313346176148358, 0.00015889050577145357]",5109.500569774163,4968.879158159807,140.62141161435557,0.0,495.24812581161973,200,0,"[495.24812581161973, 0.0, 0.0, 118.97895415261188, 0.0, 0.0, 0.0, 0.0, 0.0, 154.70323802461127, 189.19495173814218, 191.06905813601725, 141.93151726334466]","[169, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 11, 1]"
90.0,3,"[0.0, 4.303787327448388e-05, 4.0699282967888315e-05, 0.00020600295014575526, -0.0013313346176148358, 0.00015889050577145357]","[0.0, 0.0, 0.05]",145.474013005517,"[0.0, 4.3037873274483896e-05, 4.7339022526658045e-05, 0.00020457923660302218, 0.00529701471511644, -1.2392780289809883e-05]",4968.879158159807,4823.40514515429,145.474013005517,0.05,425.4522638909782,200,11,"[106.71055752629783, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 64.47364194681136, 152.85798304662882, 425.4522638909782, 100.07990670193607]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 183, 1]"
120.0,4,"[0.0, 4.3037873274483896e-05, 4.7339022526658045e-05, 0.00020457923660302218, 0.00529701471511644, -1.2392780289809883e-05]","[-0.0, -0.0, -0.05]",81.75477924371717,"[0.0, 4.303787327448384e-05, 5.3929254972687323e-05, 0.00020294157425462543, -0.0013286713261086243, 3.0585257020323725e-05]",4823.40514515429,4741.650365910573,81.75477924371717,0.05,353.30739279183365,200,12,"[64.42495696367132, 0.0, 0.0, 44.3859474387211, 0.0, 0.0, 0.0, 0.0, 0.0, 28.403027363187903, 56.11748041092778, 20.086976545928337, 353.30739279183365]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 188]"
150.0,5,"[0.0, 4.303787327448384e-05, 5.3929254972687323e-05, 0.00020294157425462543, -0.0013286713261086243, 3.0585257020323725e-05]","[-0.0, -0.0, -0.01]",60.30780141654304,"[0.0, 4.3037873274483815e-05, 6.0463088246037465e-05, 0.00020109167576656833, -0.0026514907063695716, 0.00011638098089487451]",4741.650365910573,4681.34256449403,60.30780141654304,0.01,351.1346333830698,200,10,"[73.45759097210339, 0.0, 0.0, 0.0, 62.632503442499626, 0.0, 0.0, 0.0, 0.0, 90.70942148536388, 351.1346333830698, 64.43924698757746, 101.42704652649294]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 182, 1, 7]"
180.0,6,"[0.0, 4.3037873274483815e-05, 6.0463088246037465e-05, 0.00020109167576656833, -0.0026514907063695716, 0.00011638098089487451]","[0.0, 0.0, 0.01]",76.219319367975,"[0.0, 4.3037873274483815e-05, 6.693368926898049e-05, 0.00019903147576124313, -0.0013218380077013156, 0.00015920532102832026]",4681.34256449403,4605.123245126055,76.219319367975,0.01,311.78809951861507,200,9,"[74.23050181231629, 63.27220247520554, 24.34812494391274, 0.0, 0.0, 0.0, 66.45642259768933, 0.0, 0.0, 311.78809951861507, 60.95979298487782, 51.27802662801605, 58.180345102316096]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 187, 1, 1, 1]"
210.0,7,"[0.0, 4.3037873274483815e-05, 6.693368926898049e-05, 0.00019903147576124313, -0.0013218380077013156, 0.00015920532102832026]","[0.0, 0.0, 0.0]",56.808341594806734,"[0.0, 4.303787327448379e-05, 7.333429109202647e-05, 0.00019676312879420441, -0.0013159989801369394, 0.00020186316436152912]",4605.123245126055,4548.314903531248,56.808341594806734,0.0,303.81778846451266,200,0,"[303.81778846451266, 0.0, 27.004938802928685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 64.79463659429658, 80.3699030305627, 70.66442498824199, 56.10319020832685]","[176, 1, 1, 1, 1, 1, 1, 1, 1, 1, 13, 1, 1]"
240.0,8,"[0.0, 4.303787327448379e-05, 7.333429109202647e-05, 0.00019676312879420441, -0.0013159989801369394, 0.00020186316436152912]","[-0.0, -0.0, -0.01]",47.10828257778667,"[0.0, 4.303787327448376e-05, 7.965819997079397e-05, 0.00019428900710093648, -0.0026332867856314044, 0.0002871595719575927]",4548.314903531248,4501.206620953461,47.10828257778667,0.01,302.15291767295923,200,10,"[49.88544391356663, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.125274703471405, 302.15291767295923, 58.20606807456079, 59.96794266462232]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 187, 1, 2]"
270.0,9,"[0.0, 4.303787327448376e-05, 7.965819997079397e-05, 0.00019428900710093648, -0.0026332867856314044, 0.0002871595719575927]","[0.0, 0.0, 0.01]",40.87453134903535,"[0.0, 4.303787327448373e-05, 8.58988023663227e-05, 0.00019161169811597148, -0.0012981215498427386, 0.00032930599569556246]",4501.206620953461,4460.332089604426,40.87453134903535,0.01,248.21018409229686,200,9,"[80.02536871935081, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 248.21018409229686, 65.80201978294527, 40.210536160619085, 33.24819794191808]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 188, 1, 1, 1]"
