time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_best_idx,root_Q_sa,root_N_sa
0.0,0,"[9.762700785464955e-06, 4.303787327448391e-05, 2.0552675214328774e-05, 0.00020897663659937937, -1.526904013221906e-05, 2.9178822613331237e-05]","[-0.0, -0.0, -0.01]",247.24936140450538,"[0.0, 4.30378732744839e-05, 2.7299102362524436e-05, 0.0002082028004447951, -0.001338820674416709, 7.250695579278473e-05]",5545.177444479563,5297.927983075057,247.24946140450538,0.01,1062.4636667841025,1000,10,"[205.69220852083245, -0.003002390755260474, -0.00331333190678898, -0.003921283938272057, -0.0029817681541198203, -0.002803194948129686, -0.0033204571872714494, -0.003394375595663285, 102.40987002413677, 263.8771581386695, 1062.4636667841025, 120.7357577746485, 133.66442528921309]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 978, 1, 1]"
30.0,1,"[0.0, 4.30378732744839e-05, 2.7299102362524436e-05, 0.0002082028004447951, -0.001338820674416709, 7.250695579278473e-05]","[-0.0, -0.0, -0.01]",173.84893127854704,"[0.0, 4.3037873274483896e-05, 3.401698013081657e-05, 0.00020721122596431497, -0.0026602792265913184, 0.00015860893385686092]",5297.927983075057,5124.07895179651,173.84903127854705,0.01,871.9357197438608,1000,10,"[238.8404351614159, -0.003526154758545277, -0.0017722133517447602, -0.0020953593283403785, -0.003671557227765096, -0.0023163552397194153, -0.00297295264392904, -0.003490558746679001, -0.0032274392585452767, 86.69303706138518, 871.9357197438608, 130.22349842617817, 85.87840011914572]","[11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 978, 1, 1]"
60.0,2,"[0.0, 4.3037873274483896e-05, 3.401698013081657e-05, 0.00020721122596431497, -0.0026602792265913184, 0.00015860893385686092]","[0.0, 0.0, 0.05]",145.49809145351003,"[0.0, 4.303787327448388e-05, 4.0699282967888315e-05, 0.00020600295014575526, 0.003968755906243613, 3.0296675810476942e-05]",5124.07895179651,4978.580360343,145.49859145351002,0.05,732.0667644897292,1000,11,"[102.5041042200168, -0.00306145390256727, -0.0028227623066489124, -0.0032188536067073344, -0.003139487897975181, -0.002500630742906131, -0.0030625101402905353, -0.002332442250564632, -0.0033938683811783068, 107.36648620423462, 119.61273744979047, 732.0667644897292, 73.40919980477238]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 988, 1]"
90.0,3,"[0.0, 4.303787327448388e-05, 4.0699282967888315e-05, 0.00020600295014575526, 0.003968755906243613, 3.0296675810476942e-05]","[-0.0, -0.0, -0.01]",159.3214225990425,"[0.0, 4.3037873274483896e-05, 4.7339022526658045e-05, 0.00020457923660302218, 0.0026431571721986205, -5.519759387348622e-05]",4978.580360343,4819.258837743958,159.3215225990425,0.01,698.7772091631615,1000,10,"[112.91340128589863, -0.0032341272129545596, -0.003389143461678826, -0.0019577894533748964, -0.0031131583965838586, -0.0034962858654476584, -0.0039782622355286484, -0.00352254225352983, -0.0028951943038463676, 132.4369761621684, 698.7772091631615, 31.862258748081963, 123.3248657871936]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 988, 1, 1]"
120.0,4,"[0.0, 4.3037873274483896e-05, 4.7339022526658045e-05, 0.00020457923660302218, 0.0026431571721986205, -5.519759387348622e-05]","[0.0, 0.0, 0.0]",47.815719653312954,"[0.0, 4.303787327448384e-05, 5.3929254972687323e-05, 0.00020294157425462543, 0.002639990274708515, -0.0001406341379569396]",4819.258837743958,4771.443118090645,47.815719653312954,0.0,522.2305080734213,1000,0,"[522.2305080734213, -0.0029184191085364283, -0.002364791554023532, -0.003490320030079704, -0.0030164761092733553, -0.0023906412897648274, -0.002817722153351323, -0.0034491536858385157, -0.0029470963362404692, 54.03458694178716, 48.50813565523198, 22.165380257793327, 78.99797212483931]","[988, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
150.0,5,"[0.0, 4.303787327448384e-05, 5.3929254972687323e-05, 0.00020294157425462543, 0.002639990274708515, -0.0001406341379569396]","[-0.0, -0.0, -0.05]",70.67135551476177,"[0.0, 4.3037873274483815e-05, 6.0463088246037465e-05, 0.00020109167576656833, -0.003988453041362428, -1.1675243957429129e-05]",4771.443118090645,4700.771262575883,70.67185551476177,0.05,535.0299905549189,1000,12,"[110.31576203886635, -0.0023797148153758443, -0.0032260263782536987, -0.0033476414782578367, -0.003065863220663285, -0.003223744255294364, -0.0023165494071060036, -0.004326447354001732, -0.002644753822661202, 44.239436697502825, 19.396382865040646, 16.62031361071013, 535.0299905549189]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 987]"
180.0,6,"[0.0, 4.3037873274483815e-05, 6.0463088246037465e-05, 0.00020109167576656833, -0.003988453041362428, -1.1675243957429129e-05]","[0.0, 0.0, 0.01]",89.37643919988315,"[0.0, 4.3037873274483815e-05, 6.693368926898049e-05, 0.00019903147576124313, -0.002662241891304942, 7.444618740079007e-05]",4700.771262575883,4611.394723376,89.37653919988315,0.01,530.5945263806545,1000,9,"[76.91197297918087, -0.002704433023604841, -0.0025134493303147153, -0.0033466734893638555, -0.00387718872620082, 72.23794886140703, -0.002297216460093115, -0.002241165680433511, -0.00299359536289147, 530.5945263806545, 87.28943046905755, 35.341106169524934, 74.11568569002081]","[1, 1, 1, 1, 1, 2, 1, 1, 1, 987, 1, 1, 1]"
210.0,7,"[0.0, 4.3037873274483815e-05, 6.693368926898049e-05, 0.00019903147576124313, -0.002662241891304942, 7.444618740079007e-05]","[0.0, 0.0, 0.0]",92.83541538946247,"[0.0, 4.303787327448379e-05, 7.333429109202647e-05, 0.00019676312879420441, -0.0026584426190180248, 0.00016048976299444057]",4611.394723376,4518.5593079865375,92.83541538946247,0.0,462.48224249550526,1000,0,"[462.48224249550526, -0.003134417913318753, -0.003458607175170117, 2.371712868433081, -0.0035259902097870737, -0.002510041352529346, 53.95851285619229, 40.137736249466805, -0.002557353685472959, 109.68322665203405, 113.71214717943828, 57.97103583280912, 80.318989823661]","[980, 1, 1, 1, 1, 1, 1, 1, 1, 2, 8, 1, 1]"
240.0,8,"[0.0, 4.303787327448379e-05, 7.333429109202647e-05, 0.00019676312879420441, -0.0026584426190180248, 0.00016048976299444057]","[0.0, 0.0, 0.0]",67.19468755849721,"[0.0, 4.303787327448376e-05, 7.965819997079397e-05, 0.00019428900710093648, -0.002651863149518974, 0.00024636549851945035]",4518.5593079865375,4451.36462042804,67.19468755849721,0.0,455.34465693698553,1000,0,"[455.34465693698553, -0.0024631770229565234, 51.98780384604257, -0.0030455714588592565, -0.0028463157509195673, -0.0024792606918333598, -0.003289317069255468, -0.003778958656294971, -0.0032262288405552537, 36.030747214664416, 27.714277494064564, 51.276893032603724, 47.09886652395857]","[988, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
270.0,9,"[0.0, 4.303787327448376e-05, 7.965819997079397e-05, 0.00019428900710093648, -0.002651863149518974, 0.00024636549851945035]","[-0.0, -0.0, -0.01]",57.49224245930347,"[0.0, 4.303787327448373e-05, 8.58988023663227e-05, 0.00019161169811597148, -0.0039670134673750355, 0.00037483325780105235]",4451.36462042804,4393.872277968737,57.49234245930347,0.01,347.57788811842516,1000,10,"[62.346015780291275, -0.0023667615826614215, -0.0027316564633771325, -0.004050623763932001, -0.0027703003634842473, -0.00257037339362014, -0.003407620546691198, -0.00304494336028573, -0.0035196916317095568, 28.418083671809963, 347.57788811842516, 68.19867953221204, 36.709839921583416]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 988, 1, 1]"
