time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_best_idx,root_Q_sa,root_N_sa
0.0,0,"[9.762700785464955e-06, 4.303787327448391e-05, 2.0552675214328774e-05, 0.00020897663659937937, -1.526904013221906e-05, 2.9178822613331237e-05]","[-0.0, -0.0, -0.01]",267.3340515466091,"[0.0, 4.30378732744839e-05, 2.7299102362524436e-05, 0.0002082028004447951, -0.001338820674416709, 7.250695579278473e-05]",5545.177444479563,5277.843292932954,267.33415154660906,0.01,1087.9089524219198,1000,10,"[205.69220852083245, -0.003002390755260474, -0.00331333190678898, -0.003921283938272057, -0.0029817681541198203, -0.002803194948129686, -0.0033204571872714494, -0.003394375595663285, 102.40987002413677, 269.6264009674603, 1087.9089524219198, 120.7357577746485, 133.66442528921309]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 979, 1, 1]"
30.0,1,"[0.0, 4.30378732744839e-05, 2.7299102362524436e-05, 0.0002082028004447951, -0.001338820674416709, 7.250695579278473e-05]","[-0.0, -0.0, -0.01]",169.6969077514352,"[0.0, 4.3037873274483896e-05, 3.401698013081657e-05, 0.00020721122596431497, -0.0026602792265913184, 0.00015860893385686092]",5277.843292932954,5108.146285181519,169.6970077514352,0.01,867.8253197002705,1000,10,"[168.33974759354277, -0.003017354607822484, -0.002624968279223702, -0.0031514313562855476, -0.0035251915846793817, -0.0028748656095546076, -0.003810216030241881, -0.002595300765475915, -0.0028963156536939167, 166.02947244129945, 867.8253197002705, 167.4017661902161, 150.56699947427498]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 982, 7, 1]"
60.0,2,"[0.0, 4.3037873274483896e-05, 3.401698013081657e-05, 0.00020721122596431497, -0.0026602792265913184, 0.00015860893385686092]","[0.0, 0.0, 0.05]",139.2694845976249,"[0.0, 4.303787327448388e-05, 4.0699282967888315e-05, 0.00020600295014575526, 0.003968755906243613, 3.0296675810476942e-05]",5108.146285181519,4968.876300583894,139.2699845976249,0.05,765.1019519580329,1000,11,"[101.12170794329955, -0.0019497438119227386, -0.0028103385797883886, -0.003241800695418417, -0.0035968796176903076, -0.003432584015333858, -0.002009766331496192, -0.0027163958643138092, -0.00346411973244934, 107.36691344702297, 134.10386138457545, 765.1019519580329, 73.40988202898448]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 983, 1]"
90.0,3,"[0.0, 4.303787327448388e-05, 4.0699282967888315e-05, 0.00020600295014575526, 0.003968755906243613, 3.0296675810476942e-05]","[-0.0, -0.0, -0.01]",159.31856477295625,"[0.0, 4.3037873274483896e-05, 4.7339022526658045e-05, 0.00020457923660302218, 0.0026431571721986205, -5.519759387348622e-05]",4968.876300583894,4809.557635810937,159.31866477295625,0.01,683.1796589321661,1000,10,"[130.67660365919784, -0.002976065362226954, -0.003907535399137538, -0.0029567816830819668, -0.0028931197254595566, -0.0038818369154411986, -0.003847102699223062, -0.0034355728772670923, -0.003219435635247695, 81.74902245143439, 683.1796589321661, 37.78640068440946, 130.25242825053903]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 988, 1, 1]"
120.0,4,"[0.0, 4.3037873274483896e-05, 4.7339022526658045e-05, 0.00020457923660302218, 0.0026431571721986205, -5.519759387348622e-05]","[-0.0, -0.0, -0.05]",78.30854934004684,"[0.0, 4.303787327448384e-05, 5.3929254972687323e-05, 0.00020294157425462543, -0.003982525244107438, 7.361422505452122e-05]",4809.557635810937,4731.248586470891,78.30904934004684,0.05,571.0035760178562,1000,12,"[47.81303860947721, -0.0032137902002382047, -0.002323159261866034, -0.0029454314156797078, -0.002718999906326705, -0.003055151198587818, -0.00246989967980972, -0.003252564210351954, -0.0032445061778218457, 54.03376228932628, 48.5081284326312, 22.164872365410016, 571.0035760178562]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 988]"
150.0,5,"[0.0, 4.303787327448384e-05, 5.3929254972687323e-05, 0.00020294157425462543, -0.003982525244107438, 7.361422505452122e-05]","[0.0, 0.0, 0.01]",67.89973830167693,"[0.0, 4.3037873274483815e-05, 6.0463088246037465e-05, 0.00020109167576656833, -0.0026535593935708007, 0.0001594993856812389]",4731.248586470891,4663.348748169214,67.89983830167694,0.01,840.9572247314503,1000,9,"[77.79369899470956, -0.0021298603428641445, -0.0021301813755459746, -0.0037055395390182422, 1.8737143044849942, -0.002743071640333858, -0.0032644239906566863, -0.0031964880723842856, -0.003998350280664455, 840.9572247314503, 94.68981055946772, 69.27812657334428, 79.95988468904567]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 987, 1, 1, 2]"
180.0,6,"[0.0, 4.3037873274483815e-05, 6.0463088246037465e-05, 0.00020109167576656833, -0.0026535593935708007, 0.0001594993856812389]","[0.0, 0.0, 0.01]",79.6689497278214,"[0.0, 4.3037873274483815e-05, 6.693368926898049e-05, 0.00019903147576124313, -0.0013225113971908837, 0.00020236806937284346]",4663.348748169214,4583.679698441392,79.6690497278214,0.01,527.2050276866148,1000,9,"[65.11421376982865, 61.259037843926265, -0.002275950008884422, -0.002345188558877749, -0.002644891791429795, 44.084900044927416, 30.001646818509155, 40.791655662457416, -0.00390935574037977, 527.2050276866148, 55.41312583007095, 54.045018732348304, 71.75578365809254]","[1, 1, 1, 1, 1, 2, 1, 1, 1, 987, 1, 1, 1]"
210.0,7,"[0.0, 4.3037873274483815e-05, 6.693368926898049e-05, 0.00019903147576124313, -0.0013225113971908837, 0.00020236806937284346]","[0.0, 0.0, 0.05]",81.0525577131467,"[0.0, 4.303787327448379e-05, 7.333429109202647e-05, 0.00019676312879420441, 0.005307239151131308, 3.0776753684283784e-05]",4583.679698441392,4502.626640728246,81.0530577131467,0.05,477.27497558272677,1000,11,"[42.26049303799881, 68.49116002100723, -0.0025670679383198993, -0.003942411296691199, 8.906359517631852, -0.002298775468282384, -0.0023703257407529134, -0.0032932585178875387, -0.0035420279624888552, 66.16875340853655, 82.22985367212328, 477.27497558272677, 51.2510622949301]","[1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 6, 981, 1]"
240.0,8,"[0.0, 4.303787327448379e-05, 7.333429109202647e-05, 0.00019676312879420441, 0.005307239151131308, 3.0776753684283784e-05]","[0.0, 0.0, 0.0]",85.21136845764977,"[0.0, 4.303787327448376e-05, 7.965819997079397e-05, 0.00019428900710093648, 0.0053054591516059225, -0.00014084674830921226]",4502.626640728246,4417.415272270596,85.21136845764977,0.0,852.6667226297967,1000,0,"[852.6667226297967, -0.003198967605906313, 21.05736999778144, -0.003205632091939077, 13.158292117726957, -0.0026210392813591677, -0.0030703129127982584, -0.0038694305563073688, -0.002866907419843405, 31.177447596375778, 98.44192535814014, 18.704076636950553, 59.602976546176585]","[978, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1]"
270.0,9,"[0.0, 4.303787327448376e-05, 7.965819997079397e-05, 0.00019428900710093648, 0.0053054591516059225, -0.00014084674830921226]","[-0.0, -0.0, -0.05]",40.892894573719886,"[0.0, 4.303787327448373e-05, 8.58988023663227e-05, 0.00019161169811597148, -0.0013243848117674313, -9.807458987200432e-05]",4417.415272270596,4376.521877696876,40.89339457371989,0.05,356.9708576314893,1000,12,"[22.860608764738377, -0.002862487556456792, 18.688625502918068, 22.183637214707755, -0.002552683249433047, -0.0027932178516361724, -0.003399755907768243, -0.00297282512174388, -0.0034905448463083476, 21.279608233392807, 40.73172766917152, -0.0026295680756833473, 356.9708576314893]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 988]"
