time,state,action,reward,next_state
0.0,"[7.541432081146171e-05, 5.569890610165549e-05, -6.752017437100844e-05, 0.0002528640924500716, -4.914007743030071e-05, 6.459887742108014e-05]","[0.0, 0.0, 0.01]",229.24249782882725,"[ 0.00000000e+00  5.56989061e-05 -5.93086110e-05  2.54915107e-04
  1.27747750e-03  2.33043504e-05]"
30.0,"[0.0, 5.569890610165552e-05, -5.930861101641971e-05, 0.000254915107157251, 0.0012774774999595013, 2.330435041081058e-05]","[-0.0, -0.0, -0.05]",130.20819936929092,"[ 0.00000000e+00  5.56989061e-05 -5.10350228e-05  2.56699532e-04
 -5.34495247e-03  1.96233815e-04]"
60.0,"[0.0, 5.569890610165553e-05, -5.103502276280783e-05, 0.0002566995318447025, -0.005344952474695842, 0.0001962338147405656]","[0.0, 0.0, 0.05]",132.31564918544154,"[ 0.00000000e+00  5.56989061e-05 -4.27080621e-05  2.58215500e-04
  1.28670306e-03  1.54709695e-04]"
90.0,"[0.0, 5.569890610165555e-05, -4.27080621222987e-05, 0.0002582155003624833, 0.0012867030578766379, 0.00015470969488885398]","[0.0, 0.0, 0.01]",182.17994368493055,"[ 0.00000000e+00  5.56989061e-05 -3.43364374e-05  2.59461427e-04
  2.61553582e-03  7.01741072e-05]"
120.0,"[0.0, 5.569890610165555e-05, -3.433643742381868e-05, 0.000259461427311903, 0.0026155358198670996, 7.017410715691448e-05]","[0.0, 0.0, 0.01]",155.16492619280325,"[ 0.00000000e+00  5.56989061e-05 -2.59289037e-05  2.60436010e-04
  3.94094031e-03 -5.72845412e-05]"
150.0,"[0.0, 5.5698906101655554e-05, -2.592890370593106e-05, 0.00026043600970353215, 0.003940940312046926, -5.728454120370752e-05]","[-0.0, -0.0, -0.05]",120.55787152963057,"[ 0.00000000e+00  5.56989061e-05 -1.74942536e-05  2.61138228e-04
 -2.68548820e-03  2.95650816e-05]"
180.0,"[0.0, 5.569890610165556e-05, -1.749425356082352e-05, 0.0002611382283198677, -0.002685488195144513, 2.956508157552708e-05]","[0.0, 0.0, 0.01]",132.3367996716861,"[ 0.00000000e+00  5.56989061e-05 -9.04130794e-06  2.61567349e-04
 -1.35862488e-03  7.35341126e-05]"
210.0,"[0.0, 5.569890610165556e-05, -9.041307939022132e-06, 0.0002615673487812298, -0.0013586248758248125, 7.353411261327698e-05]","[-0.0, -0.0, -0.01]",105.28805611488497,"[ 0.00000000e+00  5.56989061e-05 -5.78906924e-07  2.61722922e-04
 -2.68003986e-03  1.60275914e-04]"
240.0,"[0.0, 5.569890610165556e-05, -5.789069244481863e-07, 0.00026172292231377547, -0.0026800398596942645, 0.0001602759143358499]","[0.0, 0.0, 0.05]",87.99538957672758,"[0.00000000e+00 5.56989061e-05 7.88409951e-06 2.61604786e-04
 3.94905951e-03 3.26017366e-05]"
270.0,"[0.0, 5.5698906101655554e-05, 7.884099510534657e-06, 0.0002616047862188261, 0.003949059507100471, 3.260173662108124e-05]","[-0.0, -0.0, -0.01]",114.28753687472636,"[ 0.00000000e+00  5.56989061e-05  1.63388608e-05  2.61213064e-04
  2.62354561e-03 -5.22568634e-05]"
