time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,parallel_time
0.0,0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.05, 0.0, 0.0]",2611.652392578125,"[1.0492233618263624e-05, 1.0965785954687875e-05, 1.6475842521787695e-05, 8.437340848764571e-06, 6.18589574131742e-06, -3.5714285714285705e-06]",5545.177734375,2933.475341796875,2611.702392578125,0.05,5127.475072030535,1000,117.81699180603027
120.0,1,"[1.0492233618263624e-05, 1.0965785954687875e-05, 1.6475842521787695e-05, 8.437340848764571e-06, 6.18589574131742e-06, -3.5714285714285705e-06]","[0.05, 0.0, 0.0]",1963.9849731445313,"[1.6778936297773075e-05, -1.7727407519454496e-05, 1.6087205099273604e-05, 1.3099069318319327e-05, 3.571428571428572e-06, -6.185895741317417e-06]",2933.475341796875,969.4403686523438,1964.0349731445312,0.05,2674.3620557056947,1000,123.95609474182129
240.0,2,"[1.6778936297773075e-05, -1.7727407519454496e-05, 1.6087205099273604e-05, 1.3099069318319327e-05, 3.571428571428572e-06, -6.185895741317417e-06]","[-0.0, -0.0, -0.05]",539.018359375,"[2.0207351151200668e-05, -4.6606120247819745e-05, 1.1992982163651498e-05, 1.692785171646323e-05, -6.405452922665686e-06, -8.838081910704996e-06]",969.4403686523438,430.37200927734375,539.068359375,0.05,807.1219494743573,1000,119.15493774414062
360.0,3,"[2.0207351151200668e-05, -4.6606120247819745e-05, 1.1992982163651498e-05, 1.692785171646323e-05, -6.405452922665686e-06, -8.838081910704996e-06]","[-0.05, -0.0, -0.0]",75.30885620117188,"[2.1522635584631832e-05, -7.895969016988206e-05, 6.496070650717752e-06, 2.106727922905693e-05, -9.966325909126263e-06, -4.4512769940653954e-06]",430.37200927734375,355.0131530761719,75.35885620117188,0.05,225.737616515026,1000,118.29724407196045
480.0,4,"[2.1522635584631832e-05, -7.895969016988206e-05, 6.496070650717752e-06, 2.106727922905693e-05, -9.966325909126263e-06, -4.4512769940653954e-06]","[0.0, 0.05, 0.0]",4.195697021484375,"[3.5074298055738575e-05, -0.00015394303120051252, 2.072233469266801e-05, 2.830302882086166e-05, -1.0856729916731082e-05, 1.1282439984212634e-06]",355.0131530761719,350.7674560546875,4.245697021484375,0.05,113.84168832296639,1000,117.33553981781006
600.0,5,"[3.5074298055738575e-05, -0.00015394303120051252, 2.072233469266801e-05, 2.830302882086166e-05, -1.0856729916731082e-05, 1.1282439984212634e-06]","[0.0, 0.05, 0.0]",5.53013916015625,"[4.5958970982887053e-05, -0.00022755878518848662, 4.22568235570768e-05, 2.2920280050223636e-05, -8.838081910704999e-06, 6.405452922665684e-06]",350.7674560546875,345.18731689453125,5.58013916015625,0.05,57.4050995419797,1000,118.48420882225037
720.0,6,"[4.5958970982887053e-05, -0.00022755878518848662, 4.22568235570768e-05, 2.2920280050223636e-05, -8.838081910704999e-06, 6.405452922665684e-06]","[-0.0, -0.0, -0.05]",-0.03553466796875,"[2.8657218625317215e-05, -0.00019658152007440168, 4.6371011531270154e-05, -1.2677052665403372e-05, -9.179609909375854e-06, 5.324507084570209e-06]",345.18731689453125,345.1728515625,0.01446533203125,0.05,30.12709645573569,1000,119.40625476837158
840.0,7,"[2.8657218625317215e-05, -0.00019658152007440168, 4.6371011531270154e-05, -1.2677052665403372e-05, -9.179609909375854e-06, 5.324507084570209e-06]","[0.0, 0.05, 0.0]",28.434130859375,"[1.0359661098462093e-06, -6.392023015048836e-05, 2.551963026589454e-05, -4.094202960804122e-05, -5.287521836065754e-06, 9.200963352555947e-06]",345.1728515625,316.688720703125,28.484130859375,0.05,64.26122982747256,1000,116.45214223861694
960.0,8,"[1.0359661098462093e-06, -6.392023015048836e-05, 2.551963026589454e-05, -4.094202960804122e-05, -5.287521836065754e-06, 9.200963352555947e-06]","[0.0, 0.0, 0.0]",66.09646606445312,"[-4.3642152748027185e-05, 6.86758399199854e-05, -3.195322356143083e-05, -3.614543984193453e-05, 2.1353443180092077e-08, 1.0612028920635966e-05]",316.688720703125,250.59225463867188,66.09646606445312,0.0,95.81145815005965,1000,117.12867164611816
1080.0,9,"[-4.3642152748027185e-05, 6.86758399199854e-05, -3.195322356143083e-05, -3.614543984193453e-05, 2.1353443180092077e-08, 1.0612028920635966e-05]","[0.0, 0.05, 0.0]",36.81074829101563,"[-1.4118188900862491e-05, -5.155152583076365e-05, -2.4004119443711814e-05, 3.2777731386028734e-05, 5.32450708457021e-06, 9.179609909375855e-06]",250.59225463867188,213.73150634765625,36.860748291015625,0.05,55.45820682510767,1000,113.14295816421509
