time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_Q_sa,root_N_sa
0.0,0,"[1.3946715407807073e-07, 2.9186255332492628e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-0.0, -0.05, -0.0]",0.08576293997899927,"[-1.7942463705526585e-06, 3.3112691293448975e-05, 6.679940063426293e-06, -2.6783402287189455e-06, 6.18589574131742e-06, -3.5714285714285705e-06]",5545.177444479563,4792.347851911783,752.8295925677794,0.05,933.6277316360846,2992,"[785.8718457762369, 774.8857250764337, 742.6732460992289, 544.1103428594471, 700.9281358137323, 743.6337833396245, 787.2084787165794, 699.6012396168582, 933.6277316360846, 741.2240236780855, 745.846028060154, 795.4265601244186, 755.9482154536665]","[11, 11, 11, 11, 11, 11, 11, 11, 2816, 11, 11, 55, 11]"
120.0,1,"[-1.7942463705526585e-06, 3.3112691293448975e-05, 6.679940063426293e-06, -2.6783402287189455e-06, 6.18589574131742e-06, -3.5714285714285705e-06]","[0.0, 0.0, 0.05]",-0.0448409837829343,"[2.849910099785262e-06, 3.237167658863053e-05, 7.117751942503026e-06, 1.0642898649974666e-06, 1.0142045690852344e-05, -5.3311414912861645e-06]",4792.347851911783,4763.740191549206,28.607660362577008,0.05,301.44716262441574,2992,"[25.10359954756873, 22.507776682093553, 3.578168770439412, 38.14654857059276, 5.690239267657467, 4.229361705671454, 38.95094756811432, 1.393409272343437, 28.478496177229143, 53.33059471272633, 4.195457808181529, 301.44716262441574, 8.371188134096213]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2860, 11]"
240.0,2,"[2.849910099785262e-06, 3.237167658863053e-05, 7.117751942503026e-06, 1.0642898649974666e-06, 1.0142045690852344e-05, -5.3311414912861645e-06]","[-0.0, -0.0, -0.05]",-0.008153762725304776,"[5.200392574677878e-06, 2.7382079038239925e-05, 6.5729810626521295e-06, 2.931045134718741e-06, -2.877544536881433e-07, -1.1383151575897102e-05]",4763.740191549206,4531.6953804772265,232.0448110719799,0.05,480.3561496463132,2992,"[-0.1162457505, -0.0490099501, 132.78460728946627, 357.31247986779016, 71.84180760569869, -0.15554975050000006, 54.44362038286612, 7.1923862055406, 304.3858712481929, 83.81251224354425, 76.4196931003198, 135.6582313313577, 480.3561496463132]","[11, 11, 11, 154, 11, 11, 11, 11, 11, 11, 11, 11, 2717]"
360.0,3,"[5.200392574677878e-06, 2.7382079038239925e-05, 6.5729810626521295e-06, 2.931045134718741e-06, -2.877544536881433e-07, -1.1383151575897102e-05]","[-0.0, -0.0, -0.05]",-0.05,"[5.850756325389684e-06, 2.0413852127336265e-05, 6.536402061267809e-06, 3.01173599858884e-06, -1.2074026152041505e-05, -1.2221587728591993e-05]",4531.6953804772265,4531.6953804772265,0.0,0.05,1749.6517672793702,2992,"[-0.06792191010000002, -0.12624575050000006, -0.0874337905, 150.86990844141164, 0.5245028542764906, -0.0874337905, -0.1266377905, 11.572510933554414, -0.16624575049999998, -0.11634575050000001, 17.840610725739683, -0.2054497505000001, 1749.6517672793702]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2860]"
480.0,4,"[5.850756325389684e-06, 2.0413852127336265e-05, 6.536402061267809e-06, 3.01173599858884e-06, -1.2074026152041505e-05, -1.2221587728591993e-05]","[-0.0, -0.0, -0.05]",0.04330891778637741,"[5.321292023676634e-06, 1.6081284282827927e-05, 7.073602552853539e-06, 1.3263681826724689e-06, -2.232575748127597e-05, -7.824800226766736e-06]",4531.6953804772265,4014.2808741994086,517.414506277818,0.05,2268.755976218287,2992,"[1091.070699685384, 1134.8811016751313, 988.7072510214313, 966.4590709176499, 948.0888835619534, 1092.7460657141162, 1045.4315295597555, 941.1987699686434, 994.4745144981972, 808.4017058412737, 943.5064452782646, 735.33816511406, 2268.755976218287]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2860]"
600.0,5,"[5.321292023676634e-06, 1.6081284282827927e-05, 7.073602552853539e-06, 1.3263681826724689e-06, -2.232575748127597e-05, -7.824800226766736e-06]","[-0.0, -0.0, -0.05]",0.14069411588597075,"[3.1717363706743675e-06, 2.1388336166375382e-05, 6.832041426939808e-06, -2.26236945973028e-06, -2.8534695352379617e-05, 3.933256213737381e-07]",4014.2808741994086,2956.8481639935517,1057.432710205857,0.05,2626.075406511404,2992,"[1363.9485636617046, 1300.2271964214488, 1254.5866977025019, 1352.0433134008197, 1361.653165517071, 1513.219719198622, 1344.6482883822612, 1430.395490616582, 1497.815467550792, 1481.0137008589315, 1343.8259651159717, 1088.5347061316063, 2626.075406511404]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2860]"
720.0,6,"[3.1717363706743675e-06, 2.1388336166375382e-05, 6.832041426939808e-06, -2.26236945973028e-06, -2.8534695352379617e-05, 3.933256213737381e-07]","[0.0, 0.05, 0.0]",0.0808024639309979,"[1.1866199224555245e-05, 1.6906357202172277e-05, 1.4763121536773442e-05, 4.071312286568812e-07, -2.451510825372363e-05, 1.4607977656258763e-05]",2956.8481639935517,2231.5252913210306,725.322872672521,0.05,1850.3890736884487,2992,"[1693.8260862149668, 1636.9620643288188, 1696.1165989098392, 1658.7891816321865, 1696.7756758184516, 1698.027916108176, 1631.1676606611256, 1850.3890736884487, 1558.852127892599, 1712.6097760636908, 1708.3301165676087, 1704.631844998072, 1639.5348570484969]","[22, 11, 11, 11, 22, 22, 11, 2662, 11, 99, 55, 44, 11]"
840.0,7,"[1.1866199224555245e-05, 1.6906357202172277e-05, 1.4763121536773442e-05, 4.071312286568812e-07, -2.451510825372363e-05, 1.4607977656258763e-05]","[0.01, 0.0, 0.0]",-0.009868809481842825,"[4.1788255134862497e-07, 5.8742810679490295e-05, 8.565575429195279e-06, -1.3604641409469542e-05, -1.392671769612085e-05, 2.490843387509737e-05]",2231.5252913210306,2230.797816618816,0.7274747022147494,0.01,980.8476385241356,2992,"[834.2392510741648, 980.8476385241356, 828.0543640418417, 835.0898271714487, 640.9363994259362, 755.4620022473006, 803.0237501017629, 785.3418184956307, 866.0726515846302, 687.0859958495745, 870.2157548817286, 788.5846965671761, 871.6677523166796]","[11, 2541, 11, 11, 11, 11, 11, 11, 66, 11, 165, 22, 110]"
960.0,8,"[4.1788255134862497e-07, 5.8742810679490295e-05, 8.565575429195279e-06, -1.3604641409469542e-05, -1.392671769612085e-05, 2.490843387509737e-05]","[0.0, 0.05, 0.0]",-0.0006403624457141308,"[-1.3706343777078236e-06, 8.71786901342224e-05, 2.1528217600800697e-06, -8.466449244310838e-06, 3.9332562137373416e-07, 2.8534695352379617e-05]",2230.797816618816,1957.0898677851035,273.7079488337124,0.05,302.47739509322037,2992,"[225.9400698880524, 246.3948064326367, 187.70893108478458, 200.64232018776548, 170.96416706436597, 256.60299402252457, 113.60025463697625, 302.47739509322037, 7.463682740009559, 230.3928761877464, 207.128929705619, 173.34990950266751, 191.09598021506073]","[11, 11, 11, 11, 11, 11, 11, 2860, 11, 11, 11, 11, 11]"
1080.0,9,"[-1.3706343777078236e-06, 8.71786901342224e-05, 2.1528217600800697e-06, -8.466449244310838e-06, 3.9332562137373416e-07, 2.8534695352379617e-05]","[-0.0, -0.0, -0.01]",-0.01,"[-8.735839576060513e-06, 9.672561248353693e-05, -8.396196174431604e-06, -2.412321317243194e-06, 1.4083940600914314e-05, 2.329792719449442e-05]",1957.0898677851035,1957.0898677851035,0.0,0.01,234.328004436376,2992,"[12.737251617251731, 19.436113707730584, 31.520223498631687, 22.418337530597057, 1.243259432207388, 28.766961339448514, 25.492317740829602, 32.96910608730016, 24.11252700374533, 12.540354975452145, 234.328004436376, 31.157308391705634, 19.18060247912229]","[11, 11, 88, 11, 11, 33, 22, 132, 11, 11, 2618, 22, 11]"
1200.0,10,"[-8.735839576060513e-06, 9.672561248353693e-05, -8.396196174431604e-06, -2.412321317243194e-06, 1.4083940600914314e-05, 2.329792719449442e-05]","[0.0, 0.0, 0.05]",-0.0499996906160096,"[8.373302528717067e-07, 6.390478969524613e-05, -4.5257059172382635e-07, 8.724138020267253e-06, 2.56592220089478e-05, 1.9507686262605897e-05]",1957.0898677851035,1957.0881521959782,0.0017155891252969013,0.05,91.60449534762814,2992,"[-0.1082078980650587, 6.57744874386995, 21.516449303534614, 10.730967291073496, 0.508657937472714, 24.003268592701307, 11.994249023345997, 20.174122012759707, 28.60973454614814, 5.381403131283456, 18.607622413513955, 91.60449534762814, 0.5729958826391349]","[11, 11, 11, 11, 11, 11, 11, 22, 44, 11, 11, 2816, 11]"
1320.0,11,"[8.373302528717067e-07, 6.390478969524613e-05, -4.5257059172382635e-07, 8.724138020267253e-06, 2.56592220089478e-05, 1.9507686262605897e-05]","[-0.0, -0.05, -0.0]",-0.012503919016516249,"[-5.287644644125741e-06, 7.518607423695402e-05, -5.247667842526099e-06, -2.2135359019931425e-06, 3.197538123239652e-05, 4.064540867999517e-06]",1957.0881521959782,1749.165729669985,207.92242252599317,0.05,753.4971064556958,2992,"[443.22094877648215, 507.84276086443936, 365.01154905862586, 599.7492977502561, 385.33177496056703, 480.8020150753364, 448.2619339285617, 241.4568766618399, 753.4971064556958, 501.7473930356892, 297.3012733902287, 475.29287467602813, 436.25743061513464]","[11, 11, 11, 77, 11, 11, 11, 11, 2794, 11, 11, 11, 11]"
1440.0,12,"[-5.287644644125741e-06, 7.518607423695402e-05, -5.247667842526099e-06, -2.2135359019931425e-06, 3.197538123239652e-05, 4.064540867999517e-06]","[0.0, 0.05, 0.0]",-0.04999999998066484,"[1.446917722023388e-05, 6.485843663202689e-05, 1.4804040456664558e-05, 2.2041320488512944e-06, 2.9723762876947316e-05, -1.2467694969790623e-05]",1749.165729669985,1749.165729562768,1.0721691978687886e-07,0.05,399.0733719472746,2992,"[0.5815874567957576, 7.803986330079487, -0.14753015787656246, 0.45943971138748263, 230.69757291022412, 40.59840719060178, 141.70763333026574, 399.0733719472746, 0.6199943917347018, 29.268414505659244, 206.72312171874836, 1.870355000446377, 3.8642333726842044]","[11, 11, 11, 11, 44, 11, 11, 2827, 11, 11, 11, 11, 11]"
1560.0,13,"[1.446917722023388e-05, 6.485843663202689e-05, 1.4804040456664558e-05, 2.2041320488512944e-06, 2.9723762876947316e-05, -1.2467694969790623e-05]","[0.0, 0.05, 0.0]",-0.05,"[4.492888890505524e-06, 0.00011616044189696616, 1.050306171377281e-06, -1.459434933755318e-05, 1.9507686262605897e-05, -2.56592220089478e-05]",1749.165729562768,1749.165729562768,0.0,0.05,356.9568202859561,2992,"[98.91992831729202, 97.18518043529134, 152.66133662362435, 65.37922622281985, 141.45644845594134, 150.00099142983234, 42.0343572303399, 356.9568202859561, 153.0137645008609, 21.023443104361288, 116.01242174951837, 136.55559377424376, 126.3517057459423]","[11, 11, 11, 11, 11, 33, 11, 2761, 66, 11, 11, 11, 33]"
1680.0,14,"[4.492888890505524e-06, 0.00011616044189696616, 1.050306171377281e-06, -1.459434933755318e-05, 1.9507686262605897e-05, -2.56592220089478e-05]","[0.05, 0.0, 0.0]",-0.04887500007392784,"[-1.0822377026354485e-05, 7.305088886706724e-05, -8.595422541849193e-06, 7.771275928093088e-06, 4.064540867999528e-06, -3.197538123239651e-05]",1749.165729562768,1742.9274053476715,6.238324215096554,0.05,27.627500320318667,2992,"[0.5947327461050281, 12.136782656487963, 0.5710600645966045, 27.627500320318667, 6.607458327229244, 10.871801554814713, 10.101670769532644, 9.226031881978075, 5.271690844938525, 0.5820138554103017, 10.755871502752258, 2.5326861901804034, 5.257416524524971]","[11, 264, 11, 2497, 22, 55, 11, 22, 11, 11, 55, 11, 11]"
1800.0,15,"[-1.0822377026354485e-05, 7.305088886706724e-05, -8.595422541849193e-06, 7.771275928093088e-06, 4.064540867999528e-06, -3.197538123239651e-05]","[-0.0, -0.05, -0.0]",-0.04836634045082415,"[-1.7552945208411456e-06, 7.615782543667822e-05, -1.7533855544681017e-06, 4.5074807527633295e-07, -1.2467694969790606e-05, -2.972376287694732e-05]",1742.9274053476715,1733.868473263623,9.058932084048593,0.05,22.46761450550347,2992,"[11.03848447832503, 11.746492819214515, 11.031724523236592, 12.193298930608199, 9.554298093457007, 11.025884413088322, 11.759864888582644, 8.86314643767483, 22.46761450550347, 10.709972680913424, 11.067758699558764, 11.686999369905283, 9.609711895938636]","[22, 33, 22, 44, 11, 22, 33, 11, 2706, 22, 22, 33, 11]"
1920.0,16,"[-1.7552945208411456e-06, 7.615782543667822e-05, -1.7533855544681017e-06, 4.5074807527633295e-07, -1.2467694969790606e-05, -2.972376287694732e-05]","[-0.0, -0.05, -0.0]",-0.04987489670405274,"[-1.1356094840934349e-05, 5.222215770316526e-05, -8.005148891662715e-06, 8.301929579964149e-06, -2.5659222008947785e-05, -1.950768626260591e-05]",1733.868473263623,1733.1747532887061,0.693719974916803,0.05,485.22897997796446,2992,"[1.2794336167188285, 1.2673265097378672, 1.2930754560174358, 1.2653491963260657, 0.5097363691363713, 0.5284174866945772, 1.2611511558384438, -0.16420261526091615, 485.22897997796446, 0.5864623336767395, 0.5692422330930075, -0.12632930635818337, 1.2152928077277143]","[33, 33, 33, 33, 22, 22, 33, 11, 2684, 22, 22, 11, 33]"
2040.0,17,"[-1.1356094840934349e-05, 5.222215770316526e-05, -8.005148891662715e-06, 8.301929579964149e-06, -2.5659222008947785e-05, -1.950768626260591e-05]","[0.0, 0.05, 0.0]",-0.019625516626311575,"[2.3183225474614916e-05, 0.0001137123150750387, 1.1768292616053524e-05, -2.1294237265315986e-05, -3.197538123239651e-05, -4.064540867999547e-06]",1733.1747532887061,1564.7428531972096,168.43190009149657,0.05,321.35962212668676,2992,"[119.38708441955032, 198.35317488323017, 153.76404408378994, 276.96277117937115, 208.9486705853037, 151.78925242663624, 282.75771133748583, 321.35962212668676, 276.16570665718297, 276.74251132744115, 223.08826791133376, 280.14413409912964, 173.81868139881092]","[11, 11, 11, 88, 11, 11, 154, 2596, 44, 11, 22, 11, 11]"
2160.0,18,"[2.3183225474614916e-05, 0.0001137123150750387, 1.1768292616053524e-05, -2.1294237265315986e-05, -3.197538123239651e-05, -4.064540867999547e-06]","[0.05, 0.0, 0.0]",-0.02587397057391709,"[-1.5867907360130162e-05, 4.480889739502284e-05, -2.7552035224877514e-07, 2.0244436386541826e-05, -2.9723762876947326e-05, 1.246769496979059e-05]",1564.7428531972096,1430.9597389988444,133.78311419836518,0.05,411.7848717040242,2992,"[102.84680953216663, 78.66362042744731, 90.75675184797068, 411.7848717040242, 165.8525982533839, 110.14856384593396, 122.43744171859288, 104.58331349512402, 107.02119759492483, 95.85683659428373, 101.4060887075675, 117.89792262838463, 77.42834909086899]","[11, 11, 11, 2860, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
