time,step,action,reward,entropy,state,next_state
0.0,1,"[-0.0, -0.0, -0.05]",0.3399836522776516,1449.8841552734375,"[0.0, 2.8071277522643063e-05, 1.4838390189068348e-05, 8.400337658910227e-07, 8.550876806049804e-06, 1.2920078010680202e-06]","[0.0, 2.8071277522643063e-05, 1.4838390189068348e-05, 8.400337658910227e-07, 2.8126095921159317e-06, -2.0209823195787045e-06]"
120.0,2,"[0.0, 0.01, 0.0]",0.14720082886096622,1112.2589111328125,"[0.0, 2.8071277522643063e-05, 1.4838390189068348e-05, 8.400337658910227e-07, 2.8126095921159317e-06, -2.0209823195787045e-06]","[2.65039209651738e-06, 2.755648065963082e-05, 1.6943567876646864e-05, 2.4502527475836894e-06, 2.8126095921159317e-06, -2.0209823195787045e-06]"
240.0,3,"[0.0, 0.01, 0.0]",0.10080532161454217,878.9226684570312,"[2.65039209651738e-06, 2.755648065963082e-05, 1.6943567876646864e-05, 2.4502527475836894e-06, 2.8126095921159317e-06, -2.0209823195787045e-06]","[5.30078419303476e-06, 2.6526898911492642e-05, 1.8823436904586798e-05, 4.318586417749155e-06, 2.8126095921159317e-06, -2.0209823195787045e-06]"
360.0,4,"[-0.0, -0.0, -0.05]",0.027933692534657793,782.4152221679688,"[5.30078419303476e-06, 2.6526898911492642e-05, 1.8823436904586798e-05, 4.318586417749155e-06, 2.8126095921159317e-06, -2.0209823195787045e-06]","[5.30078419303476e-06, 2.5498334298215173e-05, 1.8823436904586798e-05, 4.318586417749155e-06, -1.2452554635255463e-06, -7.259049267243176e-06]"
480.0,5,"[-0.0, -0.0, -0.01]",0.006290581728673752,761.5316162109375,"[5.30078419303476e-06, 2.5498334298215173e-05, 1.8823436904586798e-05, 4.318586417749155e-06, -1.2452554635255463e-06, -7.259049267243176e-06]","[5.30078419303476e-06, 2.4469769684937705e-05, 1.8823436904586798e-05, 4.318586417749155e-06, -1.914904837943667e-06, -8.40260262483602e-06]"
600.0,6,"[0.05, 0.0, 0.0]",-0.010968814478142014,752.47021484375,"[5.30078419303476e-06, 2.4469769684937705e-05, 1.8823436904586798e-05, 4.318586417749155e-06, -1.914904837943667e-06, -8.40260262483602e-06]","[5.30078419303476e-06, 1.0189244589073338e-05, 2.492535437394091e-05, 1.7359100239277516e-06, -1.914904837943667e-06, -8.40260262483602e-06]"
720.0,7,"[-0.0, -0.0, -0.01]",0.022628556157736214,694.8616943359375,"[5.30078419303476e-06, 1.0189244589073338e-05, 2.492535437394091e-05, 1.7359100239277516e-06, -1.914904837943667e-06, -8.40260262483602e-06]","[5.30078419303476e-06, 9.160679975795871e-06, 2.492535437394091e-05, 1.7359100239277516e-06, -2.26969423992986e-06, -9.67942252073314e-06]"
840.0,8,"[-0.05, -0.0, -0.0]",-0.002045069491532235,665.7412719726562,"[5.30078419303476e-06, 9.160679975795871e-06, 2.492535437394091e-05, 1.7359100239277516e-06, -2.26969423992986e-06, -9.67942252073314e-06]","[5.30078419303476e-06, 2.1384075845105306e-05, 1.83657570773458e-05, 2.671483358580538e-06, -2.26969423992986e-06, -9.67942252073314e-06]"
960.0,9,"[0.05, 0.0, 0.0]",-0.005731683713849746,644.90771484375,"[5.30078419303476e-06, 2.1384075845105306e-05, 1.83657570773458e-05, 2.671483358580538e-06, -2.26969423992986e-06, -9.67942252073314e-06]","[5.30078419303476e-06, 7.10355074924094e-06, 2.4991235267569676e-05, 2.589917992897788e-06, -2.26969423992986e-06, -9.67942252073314e-06]"
1080.0,10,"[-0.0, -0.05, -0.0]",0.01584086909950839,575.5828247070312,"[5.30078419303476e-06, 7.10355074924094e-06, 2.4991235267569676e-05, 2.589917992897788e-06, -2.26969423992986e-06, -9.67942252073314e-06]","[-7.951176289552138e-06, 8.664680942397936e-06, 2.6538846539188926e-05, -1.057136446680202e-05, -2.26969423992986e-06, -9.67942252073314e-06]"
1200.0,11,"[0.01, 0.0, 0.0]",0.015819702375114493,533.2794189453125,"[-7.951176289552138e-06, 8.664680942397936e-06, 2.6538846539188926e-05, -1.057136446680202e-05, -2.26969423992986e-06, -9.67942252073314e-06]","[-7.951176289552138e-06, 7.557161323149113e-06, 2.7824013675679502e-05, -1.0248115340577283e-05, -2.26969423992986e-06, -9.67942252073314e-06]"
